County;Beds;Population;Senior population;Percentage of beds to senior populaton;Our focus;Latitude;Longitude
Southeast volusia county;282;45864;12444;2.27%;No;29.0;-81.0755
North Volusia county;2331;186114;40309;5.78%;No;29.04;-81.0755
Volusia county;3753;361565;73672;5.09%;No;29.0280;-81.0755
East Brevard County;550;61369;15867;3.47%;No;28.2639;-80.7214
South Brevard county;2404;236727;44225;5.44%;No;28.2639;-80.7214
North Brevard County;357;56603;12601;2.83%;No;28.2639;-80.7214
Brevard County;3319;363170;74853;4.43%;No;28.2639;-80.7214
St Johns County;369;14128;2684;13.75%;No;29.9012;-81.3124
Sarasota county;3683;77329;25;007;14.73%;No;27.3364;-82.5307
Charlotte County;1122;90692;32182;3.49%;No;26.8946;-81.9098
Polk County;1566;161897;29395;5.33%;No;27.8617;-81.6912
Marion County;1384;58218;10013;13.82%;No;29.2788;-82.1278
